"activity_b","activity_a","micromorts_a","category_a","hedgeable_pct_a","period_a","micromorts_b","category_b","hedgeable_pct_b","period_b","ratio","pair_type","answer","description_a","help_url_a","description_b","help_url_b"
"Daily CVD mortality risk (India)","Daily CVD mortality risk (UK)",3.24,"Disease",0,"per day",7.65,"Disease",0,"per day",2.36111111111111,"cross_country","b","Age-standardised daily cardiovascular disease mortality in the UK (IHME GBD 2023). Includes ischaemic heart disease, stroke, and other CVD.","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate","Age-standardised daily cardiovascular disease mortality in India (IHME GBD 2023). India's CVD rate is roughly double that of high-income countries.","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate"
"Daily LRI mortality risk (US)","Daily LRI mortality risk (Nigeria)",1.77,"Disease",0,"per day",0.29,"Disease",0,"per day",6.10344827586207,"cross_country","a","Age-standardised daily lower respiratory infection mortality in Nigeria (IHME GBD 2023). Among the highest rates globally.","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized","Age-standardised daily lower respiratory infection mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized"
"Daily diarrheal mortality risk (India)","Daily diarrheal mortality risk (UK)",0.02,"Disease",0,"per day",1.28,"Disease",0,"per day",64,"cross_country","b","Age-standardised daily diarrheal disease mortality in the UK (IHME GBD 2023). Effectively zero in high-income countries with clean water.","https://ourworldindata.org/grapher/diarrheal-disease-death-rates","Age-standardised daily diarrheal disease mortality in India (IHME GBD 2023). Reflects gaps in sanitation and clean water access.","https://ourworldindata.org/grapher/diarrheal-disease-death-rates"
"Daily LRI mortality risk (India)","Daily LRI mortality risk (US)",0.29,"Disease",0,"per day",1.09,"Disease",0,"per day",3.75862068965517,"cross_country","b","Age-standardised daily lower respiratory infection mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized","Age-standardised daily lower respiratory infection mortality in India (IHME GBD 2023). LRI is a leading cause of death in low-income settings.","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized"
"COVID-19 unvaccinated (age 65-79)","Daily CVD mortality risk (India)",7.65,"Disease",0,"per day",76,"COVID-19",0,"11 weeks (2022)",9.93464052287582,"disease_vs_acute","b","Age-standardised daily cardiovascular disease mortality in India (IHME GBD 2023). India's CVD rate is roughly double that of high-income countries.","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate","Unvaccinated 65-79 year-olds had substantially elevated COVID-19 mortality in 2022.","https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm"
"Daily cancer mortality risk (India)","Daily cancer mortality risk (Nigeria)",2.79,"Disease",0,"per day",2.3,"Disease",0,"per day",1.21304347826087,"cross_country","a","Age-standardised daily cancer mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/cancer-death-rates","Age-standardised daily cancer mortality in India (IHME GBD 2023). Lower rate than high-income countries, partly due to different risk factor prevalence.","https://ourworldindata.org/grapher/cancer-death-rates"
"Daily LRI mortality risk (India)","Daily LRI mortality risk (Nigeria)",1.77,"Disease",0,"per day",1.09,"Disease",0,"per day",1.62385321100917,"cross_country","a","Age-standardised daily lower respiratory infection mortality in Nigeria (IHME GBD 2023). Among the highest rates globally.","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized","Age-standardised daily lower respiratory infection mortality in India (IHME GBD 2023). LRI is a leading cause of death in low-income settings.","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized"
"Daily LRI mortality risk (Nigeria)","Daily LRI mortality risk (UK)",0.53,"Disease",0,"per day",1.77,"Disease",0,"per day",3.33962264150943,"cross_country","b","Age-standardised daily lower respiratory infection (pneumonia) mortality in the UK (IHME GBD 2023).","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized","Age-standardised daily lower respiratory infection mortality in Nigeria (IHME GBD 2023). Among the highest rates globally.","https://ourworldindata.org/grapher/pneumonia-death-rates-age-standardized"
"Daily CVD mortality risk (US)","Daily CVD mortality risk (Nigeria)",7.33,"Disease",0,"per day",3.95,"Disease",0,"per day",1.85569620253165,"cross_country","a","Age-standardised daily cardiovascular disease mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate","Age-standardised daily cardiovascular disease mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate"
"Daily CVD mortality risk (US)","Daily CVD mortality risk (UK)",3.24,"Disease",0,"per day",3.95,"Disease",0,"per day",1.21913580246914,"cross_country","b","Age-standardised daily cardiovascular disease mortality in the UK (IHME GBD 2023). Includes ischaemic heart disease, stroke, and other CVD.","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate","Age-standardised daily cardiovascular disease mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate"
"Daily diarrheal mortality risk (India)","Daily diarrheal mortality risk (Nigeria)",0.88,"Disease",0,"per day",1.28,"Disease",0,"per day",1.45454545454545,"cross_country","b","Age-standardised daily diarrheal disease mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/diarrheal-disease-death-rates","Age-standardised daily diarrheal disease mortality in India (IHME GBD 2023). Reflects gaps in sanitation and clean water access.","https://ourworldindata.org/grapher/diarrheal-disease-death-rates"
"Daily diarrheal mortality risk (US)","Daily diarrheal mortality risk (Nigeria)",0.88,"Disease",0,"per day",0.04,"Disease",0,"per day",22,"cross_country","a","Age-standardised daily diarrheal disease mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/diarrheal-disease-death-rates","Age-standardised daily diarrheal disease mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/diarrheal-disease-death-rates"
"Daily cancer mortality risk (US)","Daily cancer mortality risk (UK)",3.95,"Disease",0,"per day",3.15,"Disease",0,"per day",1.25396825396825,"cross_country","a","Age-standardised daily cancer (all neoplasms) mortality in the UK (IHME GBD 2023). UK has one of the highest cancer death rates globally.","https://ourworldindata.org/grapher/cancer-death-rates","Age-standardised daily cancer mortality in the US (IHME GBD 2023).","https://ourworldindata.org/grapher/cancer-death-rates"
"Daily cancer mortality risk (Nigeria)","Daily cancer mortality risk (UK)",3.95,"Disease",0,"per day",2.79,"Disease",0,"per day",1.415770609319,"cross_country","a","Age-standardised daily cancer (all neoplasms) mortality in the UK (IHME GBD 2023). UK has one of the highest cancer death rates globally.","https://ourworldindata.org/grapher/cancer-death-rates","Age-standardised daily cancer mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/cancer-death-rates"
"Daily CVD mortality risk (Nigeria)","Daily CVD mortality risk (UK)",3.24,"Disease",0,"per day",7.33,"Disease",0,"per day",2.26234567901235,"cross_country","b","Age-standardised daily cardiovascular disease mortality in the UK (IHME GBD 2023). Includes ischaemic heart disease, stroke, and other CVD.","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate","Age-standardised daily cardiovascular disease mortality in Nigeria (IHME GBD 2023).","https://ourworldindata.org/grapher/cardiovascular-disease-death-rate"
